9,76E+11;CEU 070 COMBUSTIVEIS LTDA; LOTE 499 GLEBA 04 PROJ INTEG,S/N;ALEXANDRE GUSMAO;CEILANDIA;BRASILIA;DF;ETANOL;3,299;09/10/18 16:51;2020-04-21
1,09E+12;POSTO SAMBAREIA;ACESSO BR 316 KM 27,S/N;;ZONA RURAL;DEMERVAL LOBAO;PI;GASOLINA C COMUM;4,599;24/12/19 11:53;2020-04-21
1,09E+12;POSTO SAMBAREIA;ACESSO BR 316 KM 27,S/N;;ZONA RURAL;DEMERVAL LOBAO;PI;DIESEL S500;3,849;24/12/19 11:53;2020-04-21
1,09E+12;POSTO SAMBAREIA;ACESSO BR 316 KM 27,S/N;;ZONA RURAL;DEMERVAL LOBAO;PI;DIESEL S10;3,899;24/12/19 11:53;2020-04-21
1,11E+12;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;GASOLINA C COMUM;4,299;23/01/19 14:57;2020-04-21
1,11E+12;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;ETANOL;2,899;19/02/19 11:52;2020-04-21
1,11E+12;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;GNV;2,999;19/02/19 11:52;2020-04-21
1,11E+12;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;DIESEL S500;3,599;23/01/19 14:57;2020-04-21
1,11E+12;RODOCAMP AUTO SERVICE LTDA;AVENIDA MERCEDES BENZ,01;GLEBA 1                   QT 8907;DISTRITO INDUSTRIAL;CAMPINAS;SP;DIESEL S10;3,699;23/01/19 14:57;2020-04-21
1,14E+12;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;GASOLINA C COMUM;4,76;07/02/20 17:26;2020-04-21
1,14E+12;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;ETANOL;3,39;07/02/20 17:26;2020-04-21
1,14E+12;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;DIESEL S500;3,69;07/02/20 17:26;2020-04-21
1,14E+12;POSTO JK;RODOVIA BR 040 KM 102,S N;;;CRISTALINA;GO;DIESEL S10;3,73;07/02/20 17:27;2020-04-21
1,18E+12;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;GASOLINA C COMUM;4,72;10/08/18 17:08;2020-04-21
1,18E+12;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;ETANOL;2,99;10/08/18 17:08;2020-04-21
1,18E+12;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;DIESEL S500;3,49;10/08/18 17:08;2020-04-21
1,18E+12;POSTO CHAPARRAL;AVENIDA LINO SAMPAIO,83;;SAMPAIO;PIRES DO RIO;GO;DIESEL S10;3,59;10/08/18 17:08;2020-04-21
1,24E+12;POSTO FERROVIARIO;RODOVIA PA 150,S/N;KM 422;DIST INDUSTRIAL;MARABA;PA;GASOLINA C COMUM;4,59;31/07/19 17:44;2020-04-21
1,24E+12;POSTO FERROVIARIO;RODOVIA PA 150,S/N;KM 422;DIST INDUSTRIAL;MARABA;PA;DIESEL S500;3,69;31/07/19 17:44;2020-04-21
1,24E+12;POSTO FERROVIARIO;RODOVIA PA 150,S/N;KM 422;DIST INDUSTRIAL;MARABA;PA;DIESEL S10;3,79;31/07/19 17:44;2020-04-21
1,31E+12;POSTO TRES FAZENDAS;RODOVIA BR 116,14219;;COSTEIRA;SAO JOSE DOS PINHAIS;PR;GASOLINA C COMUM;4,39;25/09/18 09:18;2020-04-21
1,31E+12;POSTO TRES FAZENDAS;RODOVIA BR 116,14219;;COSTEIRA;SAO JOSE DOS PINHAIS;PR;DIESEL S500;3,47;25/09/18 09:18;2020-04-21
1,31E+12;POSTO TRES FAZENDAS;RODOVIA BR 116,14219;;COSTEIRA;SAO JOSE DOS PINHAIS;PR;DIESEL S10;3,57;25/09/18 09:18;2020-04-21
1,33E+12;AUTO POSTO MILENIO LTDA;RUA BAHIA,1408;;VILA ROSA;CAMPO GRANDE;MS;GASOLINA C COMUM;4,099;15/04/19 19:18;2020-04-21
1,33E+12;AUTO POSTO MILENIO LTDA;RUA BAHIA,1408;;VILA ROSA;CAMPO GRANDE;MS;ETANOL;3,299;15/04/19 19:18;2020-04-21
1,33E+12;AUTO POSTO MILENIO LTDA;RUA BAHIA,1408;;VILA ROSA;CAMPO GRANDE;MS;DIESEL S10;3,599;15/04/19 19:18;2020-04-21
1,39E+12;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624;;BEIRA RIO;CATAGUASES;MG;GASOLINA C COMUM;4,849;17/04/19 16:21;2020-04-21
1,39E+12;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624;;BEIRA RIO;CATAGUASES;MG;ETANOL;3,299;17/04/19 16:21;2020-04-21
1,39E+12;POSTO MODELO;AVENIDA MANOEL INACIO PEIXOTO,624;;BEIRA RIO;CATAGUASES;MG;DIESEL S500;3,699;17/04/19 16:21;2020-04-21
